TIME,INDEX_NAME,COLUMN_NAME,RETRIEVER_TYPE,COUNT_QUERY_RUN,TOPK_RETRIEVER,TOPK_RANKER,COUNT_QUERY_WITHOUT_RESULT,COUNT_QUERY_NOT_FOUND,RANK1_MEAN,NDCG@5_MEAN,NDCG@10_MEAN,NDCG@15_MEAN,NDCG@20_MEAN,PRECISION@50_MEAN,PRECISION@100_MEAN,RECALL@50_MEAN,RECALL@100_MEAN,TIME_SPENT_MEAN,RETRIEVER_MODEL_NAME,RANKER_TYPE
2023-Jun-28 11:14:34,indir_juris_tcu,1,bm25,150,300,0,0,0,2.873,56.202,52.261,54.66,57.599,12.627,6.973,74.063,81.196,0.12,,none
2023-Jun-28 11:14:53,indir_juris_tcu,10,bm25,150,300,0,0,0,6.427,48.434,45.663,48.025,50.368,11.067,6.473,66.205,76.139,0.123,,none
2023-Jun-28 11:15:12,indir_juris_tcu,2,bm25,150,300,0,0,0,3.907,56.274,52.205,54.46,56.592,12.147,6.84,71.632,79.864,0.121,,none
2023-Jun-28 11:15:30,indir_juris_tcu,3,bm25,150,300,0,0,0,3.62,54.357,50.502,52.255,54.836,11.867,6.84,70.16,80.144,0.12,,none
2023-Jun-28 11:15:48,indir_juris_tcu,4,bm25,150,300,0,0,0,3.96,54.226,50.383,52.372,54.614,11.64,6.68,69.142,78.193,0.121,,none
2023-Jun-28 11:16:07,indir_juris_tcu,5,bm25,150,300,0,0,0,5.0,52.515,48.485,50.803,53.095,11.387,6.66,67.625,78.304,0.122,,none
2023-Jun-28 11:16:26,indir_juris_tcu,6,bm25,150,300,0,0,0,5.74,51.222,47.231,49.235,51.636,11.187,6.567,66.637,77.282,0.122,,none
2023-Jun-28 11:16:44,indir_juris_tcu,7,bm25,150,300,0,0,0,5.36,50.741,47.334,49.312,51.636,11.067,6.487,66.13,76.326,0.122,,none
2023-Jun-28 11:17:03,indir_juris_tcu,8,bm25,150,300,0,0,0,6.267,49.353,46.664,48.968,51.228,11.213,6.473,66.951,76.177,0.122,,none
2023-Jun-28 11:17:22,indir_juris_tcu,9,bm25,150,300,0,0,0,6.56,48.675,45.926,48.31,50.65,11.067,6.453,66.187,75.966,0.122,,none
2023-Jun-28 11:17:40,indir_juris_tcu,TEXT,bm25,150,300,0,0,0,2.853,59.411,55.158,58.502,61.256,12.92,7.127,75.593,82.94,0.118,,none
2023-Jun-28 11:18:49,indir_juris_tcu,1,bm25,150,300,0,0,0,5.067,46.252,43.285,45.699,48.549,12.053,6.933,69.936,80.496,0.457,,MINILM_INDIR_400
2023-Jun-28 11:20:07,indir_juris_tcu,10,bm25,150,300,0,0,0,5.08,51.33,48.085,50.832,52.832,12.333,6.833,72.25,80.045,0.519,,MINILM_INDIR_400
2023-Jun-28 11:21:17,indir_juris_tcu,2,bm25,150,300,0,0,0,4.233,47.199,44.072,46.498,49.219,12.173,6.853,70.394,79.416,0.463,,MINILM_INDIR_400
2023-Jun-28 11:22:28,indir_juris_tcu,3,bm25,150,300,0,0,0,5.44,45.809,43.273,45.856,48.29,11.853,6.833,68.6,79.289,0.474,,MINILM_INDIR_400
2023-Jun-28 11:23:42,indir_juris_tcu,4,bm25,150,300,0,0,0,4.813,48.607,45.789,48.699,50.656,12.107,6.927,70.815,80.431,0.489,,MINILM_INDIR_400
2023-Jun-28 11:24:57,indir_juris_tcu,5,bm25,150,300,0,0,0,4.393,50.004,46.48,49.128,51.493,12.307,6.9,71.476,80.388,0.496,,MINILM_INDIR_400
2023-Jun-28 11:26:13,indir_juris_tcu,6,bm25,150,300,0,0,0,4.427,48.483,46.428,49.053,51.613,12.347,6.887,71.809,80.357,0.501,,MINILM_INDIR_400
2023-Jun-28 11:27:30,indir_juris_tcu,7,bm25,150,300,0,0,0,4.56,49.601,46.851,49.648,51.873,12.48,6.907,72.975,80.495,0.511,,MINILM_INDIR_400
2023-Jun-28 11:28:48,indir_juris_tcu,8,bm25,150,300,0,0,0,5.307,51.474,48.147,50.724,53.044,12.44,6.853,72.823,79.651,0.52,,MINILM_INDIR_400
2023-Jun-28 11:30:07,indir_juris_tcu,9,bm25,150,300,0,0,0,5.047,50.9,47.719,50.291,52.485,12.333,6.827,72.26,79.966,0.521,,MINILM_INDIR_400
2023-Jun-28 11:31:16,indir_juris_tcu,TEXT,bm25,150,300,0,0,0,3.513,46.229,43.832,47.097,49.708,12.333,7.16,71.723,83.146,0.456,,MINILM_INDIR_400
2023-Jun-28 11:32:23,indir_juris_tcu,1,sts,150,300,0,0,8,4.472,41.488,37.75,39.477,41.11,8.707,4.9,51.476,57.909,0.441,,MINILM_INDIR_400
2023-Jun-28 11:33:45,indir_juris_tcu,10,sts,150,300,0,0,9,4.553,46.636,42.5,44.393,46.26,9.213,4.987,55.609,59.48,0.543,,MINILM_INDIR_400
2023-Jun-28 11:34:54,indir_juris_tcu,2,sts,150,300,0,0,10,4.25,42.983,38.722,40.325,42.177,8.853,4.893,52.484,57.729,0.459,,MINILM_INDIR_400
2023-Jun-28 11:36:06,indir_juris_tcu,3,sts,150,300,0,0,9,5.277,43.305,39.173,40.786,42.201,8.613,4.74,51.638,56.22,0.479,,MINILM_INDIR_400
2023-Jun-28 11:37:21,indir_juris_tcu,4,sts,150,300,0,0,7,4.517,44.831,40.596,42.273,43.587,8.947,4.947,53.266,58.488,0.493,,MINILM_INDIR_400
2023-Jun-28 11:38:37,indir_juris_tcu,5,sts,150,300,0,0,10,4.2,45.871,41.044,42.54,44.449,9.173,4.993,54.073,58.341,0.504,,MINILM_INDIR_400
2023-Jun-28 11:39:55,indir_juris_tcu,6,sts,150,300,0,0,10,3.636,46.137,42.226,43.847,45.575,9.307,4.987,55.127,58.709,0.515,,MINILM_INDIR_400
